GENESIS-Tabelle: 12411-0017
Bevölkerung: Kreise, Stichtag, Altersgruppen;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;
;;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt
31.12.2020;05911;Bochum, kreisfreie Stadt;9734;9643;11661;14367;8820;6779;24358;27236;26578;23295;20328;20459;26941;27701;25181;39275;42098;364454
31.12.2020;05913;Dortmund, kreisfreie Stadt;17398;17410;20965;25878;15802;11502;37489;42543;42361;37770;35225;35513;44271;44156;38017;58644;62752;587696
31.12.2020;05914;Hagen, kreisfreie Stadt;5949;5819;7161;8992;5664;4050;10506;11323;11877;10805;10760;11078;14547;15329;13046;19670;22111;188687
31.12.2020;05915;Hamm, kreisfreie Stadt;5037;5313;6730;8805;5531;3866;11085;10915;11219;10619;11135;11271;13598;13777;12078;18852;19136;178967
31.12.2020;05916;Herne, kreisfreie Stadt;4518;4529;5630;6926;4315;3335;9371;9851;9966;9159;9243;10060;12338;12567;10850;16756;17526;156940
31.12.2020;05954;Ennepe-Ruhr-Kreis;8638;8933;10991;13474;8436;5862;16318;17678;19020;18666;17961;18821;27262;28680;24561;37443;40386;323130
31.12.2020;05958;Hochsauerlandkreis;6741;7076;8832;11775;7930;5376;13555;14448;15279;14424;14284;15907;21832;23018;19841;28674;30038;259030
31.12.2020;05962;Märkischer Kreis;11436;11746;14528;18917;12046;8486;21302;22473;24252;23385;22696;24379;34174;36502;30439;44133;47768;408662
31.12.2020;05966;Olpe, Landkreis;3697;3863;4898;6163;4135;2751;7303;7492;8019;7927;7759;8248;11371;11978;9872;13994;13892;133362
31.12.2020;05970;Siegen-Wittgenstein, Landkreis;7980;7967;9785;12195;7680;5438;17080;17652;17556;16211;15549;15745;21297;22632;19976;30220;30528;275491
31.12.2020;05974;Soest, Landkreis;8251;8624;11034;14059;9089;6133;15997;16611;17717;17764;17433;18686;25030;26044;22563;32659;33322;301016
31.12.2020;05978;Unna, Landkreis;10791;11134;13830;17641;11148;7692;20380;20755;22762;22402;23087;23900;32360;34012;30208;45349;46167;393618
31.12.2020;06411;Darmstadt, kreisfreie Stadt;4802;4474;5623;6810;3893;3122;14510;16033;13758;10518;9235;8767;10585;10336;8926;13310;14472;159174
31.12.2020;06412;Frankfurt am Main, kreisfreie Stadt;24965;23866;28362;33557;18998;12859;44514;63859;72519;64150;57020;52424;56351;50956;39566;60207;59931;764104
31.12.2020;06413;Offenbach am Main, kreisfreie Stadt;4678;4289;5240;6384;3802;2578;8092;10212;11187;9921;8834;8532;9356;8980;7279;10739;10789;130892
31.12.2020;06414;Wiesbaden, kreisfreie Stadt;8856;8929;10631;13545;7918;5440;17385;17946;18714;18008;18096;17910;21279;20802;17042;26241;29867;278609
31.12.2020;06431;Bergstraße, Landkreis;7603;7705;9772;11858;7471;5087;13504;14288;16120;16091;16044;16518;22847;24141;20383;30909;30674;271015
31.12.2020;06432;Darmstadt-Dieburg, Landkreis;8541;9012;11377;13895;8540;5887;15883;16017;17895;17968;18756;18704;25011;25672;21110;32366;31067;297701
31.12.2020;06433;Groß-Gerau, Landkreis;8596;8948;10829;13191;7972;5484;15664;16758;18739;18498;18455;17794;22101;21719;17229;26404;27426;275807
31.12.2020;06434;Hochtaunuskreis;6282;7110;9498;12627;7487;4562;10978;10698;12024;13737;15335;16378;20663;20151;15600;24360;29791;237281
